## Torsion are defined with the following atomIDs:
# dihed1: ai= 21 aj= 20 ak= 19 al= 15
# dihed2: ai= 20 aj= 19 ak= 15 al= 16
# dihed3: ai= 14 aj= 13 ak= 11 al= 1
# dihed4: ai= 13 aj= 11 ak= 1 al= 2
# dihed5: ai= 6 aj= 5 ak= 28 al= 29
# dihed6: ai= 10 aj= 9 ak= 30 al= 36
# dihed7: ai= 18 aj= 17 ak= 25 al= 26
# dihed8: ai= 17 aj= 25 ak= 26 al= 27
# dihed9: ai= 15 aj= 16 ak= 22 al= 23
# dihed10: ai= 16 aj= 22 ak= 23 al= 24
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
232  151.808   12.535 -131.986   54.262 -167.349  -30.200   29.016  172.752  120.672  121.951
233 -167.909  126.929 -131.575   47.512  174.777  -19.498  162.515 -151.421   65.304   66.657
234  149.694   72.959 -137.123   65.793 -177.843  -31.361  121.042  159.171  124.408 -122.427
235  174.051   38.118 -134.495   46.810  160.571  -34.192  110.423  127.453   75.797   58.940
236 -178.726   97.927 -124.611   48.514 -174.719  -32.951  103.976  119.159  127.363  -88.405
237  147.441   32.450 -145.965   54.955 -150.733  -41.668  164.169 -143.613  105.906  163.324
238  174.505   67.470 -128.558   52.744  163.118  -66.720   65.145  140.724  117.499  -71.121
239  162.704   38.835 -141.749   57.053  175.084  -46.296  137.382 -137.146  111.650  -70.346
240  173.548   15.570 -133.206   51.529  177.734  -29.628  151.241 -152.632   68.109  105.129
241  139.045   41.327 -129.432   48.694 -170.774  -18.963   40.502  177.724  132.574  -67.788
242  169.480   27.580 -132.431   58.723 -166.270  -34.215  117.787  158.869  119.786  -71.702
243  162.768   45.568 -131.451   55.514  177.787  -47.073   37.036  158.581   77.714  124.213
244  166.056   44.663 -128.993   47.201 -177.746  -35.718   42.875  169.226  119.331  -95.209
245  114.112   66.035 -131.438   55.715 -147.739  -23.283   14.752  178.963  101.374  -89.296
246  169.373   12.948 -149.845   74.127 -152.251  -54.576   79.762  137.292  130.149  -78.326
247  150.480   37.596 -128.944   48.426  166.570  -61.776  115.159 -138.958  128.184  -82.627
248  165.699   51.703 -131.962   60.494 -165.804  -33.730   52.106  157.714  111.392  -72.015
249  155.681   79.732 -134.568   67.992 -173.782   -1.378  138.966  128.130   99.622  -80.121
250  174.963   21.480 -123.504   52.033 -178.055  -19.026  147.147 -161.038  111.813  -87.558
251  173.694   17.612 -126.726   43.329 -176.850   -0.229   43.828  158.958  106.409  -83.357
252  170.805   16.049 -140.178   51.546 -152.312  -24.718  110.598  151.653  119.294  -71.561
253  158.881   57.521 -130.855   53.616  160.177  -46.887  112.489  152.920  106.571  -98.743
254  164.918   28.920 -140.224   53.311 -163.664  -42.649   20.377  177.365  112.151  -98.289
255 -152.246   48.849 -129.943   54.608 -167.324  -41.987  163.733 -153.827   40.450   75.073
256  163.630   52.425 -130.270   51.822 -153.754  -47.494   56.118  160.040  128.682 -145.838
257  156.114    2.659 -144.507   55.496 -170.143  -57.948  122.626 -156.283  125.455  -66.749
258  174.811   33.818 -128.353   52.947 -168.425  133.475  127.539  136.219  114.675  -75.320
259 -171.396  -27.883 -141.637   62.216 -164.307  149.279  111.710  156.855  126.115  -66.580
