  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      421        1.510        5.542            0      482.094       14.961       63.909
      422        1.498        5.405            0      482.325       29.313       66.114
      423        1.352        5.460            0      482.863       17.921       70.515
      424        1.534        5.559            0      486.230       35.232       68.217
      425        1.429        5.450            0      476.643       29.560       74.903
      426        1.377        5.308            0      472.679       25.241       70.644
      427        1.291        5.386            0      479.776       18.204       69.681
      428        1.303        5.420            0      482.777       21.419       64.944
      429        1.375        5.454            0      485.269       16.637       65.737
      430        1.365        5.445            0      481.771       21.297       74.260
      431        1.428        5.360            0      474.662       14.989       75.593
      432        1.387        5.373            0      481.540       25.353       66.001
      433        1.283        5.425            0      481.634       17.458       66.806
      434        1.452        5.363            0      478.349       14.777       71.130
      435        1.313        5.374            0      482.743       22.989       71.549
      436        1.482        5.375            0      474.903       15.952       72.574
      437        1.499        5.437            0      482.638       32.969       67.753
      438        1.393        5.398            0      478.573        8.359       70.535
      439        1.349        5.295            0      479.835       16.388       75.670
      440        1.536        5.568            0      484.865       34.056       68.821
      441        1.394        5.401            0      483.264       18.471       67.759
      442        1.334        5.386            0      482.989       22.442       70.433
      443        1.542        5.377            0      477.328       18.788       77.244
      444        1.424        5.567            0      479.830       23.824       65.047
      445        1.361        5.365            0      474.945       34.853       77.135
      446        1.527        5.479            0      483.116       26.381       74.833
      447        1.290        5.395            0      475.168       16.864       78.064
      448        1.334        5.425            0      484.426       13.740       67.515
      449        1.427        5.290            0      474.121       19.103       80.930
      450        1.472        5.343            0      474.942       24.333       72.512
      451        1.482        5.420            0      469.754       15.343       80.351
      452        1.488        5.370            0      477.312       34.236       69.384
      453        1.476        5.406            0      475.514       31.322       75.402
      454        1.471        5.322            0      476.624       23.816       72.093
      455        1.451        5.336            0      473.914       21.995       77.106
      456        1.245        5.363            0      480.054       24.055       73.579
      457        1.283        5.413            0      479.177       29.584       77.007
      458        1.494        5.363            0      477.722       24.954       75.959
      459        1.381        5.443            0      476.277       20.960       72.534
      460        1.301        5.366            0      480.118       27.492       76.223
      461        1.292        5.344            0      481.269        6.529       75.782
      462        1.324        5.403            0      483.093       16.396       70.890
      463        1.373        5.401            0      482.033       21.588       73.400
